division_id,division_label,source_division_id,source_division_label,season_code,season_year,season_term,game_id,game_url,table_index,team_name,team_lineage_id,team_season_id,pts,reb,ast,stl,blk,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,tov,pf
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024Su,2024,SU,2-texas-elite-vs-7-the-quinnterns,https://tdlbasketball.com/event/2-texas-elite-vs-7-the-quinnterns/,2,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2024Su,52,49,19,8,6,21,71,0.296,6,21,0.286,4,13,0.308,9,14
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024W,2024,W,3-quinnterns-cs-6-texas-elite,https://tdlbasketball.com/event/3-quinnterns-cs-6-texas-elite/,1,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2024W,66,45,15,2,2,23,60,0.383,7,26,0.269,13,23,0.565,16,19
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024W,2024,W,3-quinnterns-cs-6-texas-elite,https://tdlbasketball.com/event/3-quinnterns-cs-6-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2024W,71,27,17,9,3,21,56,0.375,10,32,0.312,18,26,0.692,7,16
d3_tuesdays,D3 Tuesdays,d3_mondays,D3 Mondays,2026W,2026,W,3-scrub-daddies-vs-7-spaghetti-ramen,https://tdlbasketball.com/event/3-scrub-daddies-vs-7-spaghetti-ramen/,1,Scrub Daddies,d3_tuesdays:scrub-daddies,d3_tuesdays:scrub-daddies:2026W,56,29,14,6,3,19,51,0.373,8,24,0.333,10,21,0.476,9,22
d3_tuesdays,D3 Tuesdays,d3_mondays,D3 Mondays,2026W,2026,W,3-scrub-daddies-vs-7-spaghetti-ramen,https://tdlbasketball.com/event/3-scrub-daddies-vs-7-spaghetti-ramen/,2,Spaghetti Ramen,d3_tuesdays:spaghetti-ramen,d3_tuesdays:spaghetti-ramen:2026W,62,32,15,6,2,19,47,0.404,4,22,0.182,20,27,0.741,11,15
premier_wednesdays,Premier,d3_mondays,D3 Mondays,2026W,2026,W,4-expensive-league-vs-8-hoop-fuel-nutrition,https://tdlbasketball.com/event/4-expensive-league-vs-8-hoop-fuel-nutrition/,1,Expensive League,premier_wednesdays:expensive-league,premier_wednesdays:expensive-league:2026W,69,38,12,9,4,22,57,0.386,8,25,0.32,16,22,0.727,12,15
premier_wednesdays,Premier,d3_mondays,D3 Mondays,2026W,2026,W,4-expensive-league-vs-8-hoop-fuel-nutrition,https://tdlbasketball.com/event/4-expensive-league-vs-8-hoop-fuel-nutrition/,2,Hoop Fuel Nutrition,premier_wednesdays:hoop-fuel-nutrition,premier_wednesdays:hoop-fuel-nutrition:2026W,57,27,13,7,1,22,57,0.386,6,26,0.231,5,13,0.385,16,17
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,8-bkysc-vs-9-manhattan-mayo-clinic,https://tdlbasketball.com/event/8-bkysc-vs-9-manhattan-mayo-clinic/,1,BKYSC,d3_mondays:bkysc,d3_mondays:bkysc:2026W,75,44,20,4,5,28,68,0.412,13,33,0.394,6,8,0.75,8,7
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,8-bkysc-vs-9-manhattan-mayo-clinic,https://tdlbasketball.com/event/8-bkysc-vs-9-manhattan-mayo-clinic/,2,Manhattan Mayo Clinic,d3_mondays:manhattan-mayo-clinic,d3_mondays:manhattan-mayo-clinic:2026W,55,38,14,6,4,21,66,0.318,8,27,0.296,5,11,0.455,8,6
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,bkysc-vs-manhattan-elite,https://tdlbasketball.com/event/bkysc-vs-manhattan-elite/,1,BKYSC,d3_mondays:bkysc,d3_mondays:bkysc:2026W,68,39,25,4,5,26,71,0.366,11,35,0.314,5,7,0.714,12,15
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,bkysc-vs-manhattan-elite,https://tdlbasketball.com/event/bkysc-vs-manhattan-elite/,2,Manhattan Elite,d3_mondays:manhattan-elite,d3_mondays:manhattan-elite:2026W,74,40,21,7,3,27,65,0.415,5,23,0.217,15,20,0.75,4,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,brickstone-associates-vs-manhattan-mayo-clinic-2,https://tdlbasketball.com/event/brickstone-associates-vs-manhattan-mayo-clinic-2/,1,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2026W,78,45,26,7,1,30,66,0.455,8,28,0.286,10,18,0.556,18,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,brickstone-associates-vs-manhattan-mayo-clinic-2,https://tdlbasketball.com/event/brickstone-associates-vs-manhattan-mayo-clinic-2/,2,Manhattan Mayo Clinic,d3_mondays:manhattan-mayo-clinic,d3_mondays:manhattan-mayo-clinic:2026W,71,42,21,13,5,29,82,0.354,10,32,0.312,3,8,0.375,8,14
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,manhattan-mayo-clinic-vs-nj-rockets-2,https://tdlbasketball.com/event/manhattan-mayo-clinic-vs-nj-rockets-2/,1,Manhattan Mayo Clinic,d3_mondays:manhattan-mayo-clinic,d3_mondays:manhattan-mayo-clinic:2026W,54,51,16,9,8,21,79,0.266,6,32,0.188,6,8,0.75,9,5
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,manhattan-mayo-clinic-vs-nj-rockets-2,https://tdlbasketball.com/event/manhattan-mayo-clinic-vs-nj-rockets-2/,2,NJ Rockets,d3_mondays:nj-rockets,d3_mondays:nj-rockets:2026W,71,43,20,8,11,26,71,0.366,14,43,0.326,5,5,1.0,9,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,nj-rockets-vs-brickstone-associates-2,https://tdlbasketball.com/event/nj-rockets-vs-brickstone-associates-2/,1,NJ Rockets,d3_mondays:nj-rockets,d3_mondays:nj-rockets:2026W,62,42,15,4,6,22,63,0.349,12,34,0.353,6,6,1.0,14,13
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,nj-rockets-vs-brickstone-associates-2,https://tdlbasketball.com/event/nj-rockets-vs-brickstone-associates-2/,2,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2026W,76,43,21,9,7,29,71,0.408,9,27,0.333,9,14,0.643,6,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,pippen-aint-easy-vs-ibaka-flaka-flame-3,https://tdlbasketball.com/event/pippen-aint-easy-vs-ibaka-flaka-flame-3/,1,Pippen Ain’t Easy,d3_mondays:pippen-ain-t-easy,d3_mondays:pippen-ain-t-easy:2026W,98,35,21,5,1,34,63,0.54,15,30,0.5,15,23,0.652,5,7
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,pippen-aint-easy-vs-ibaka-flaka-flame-3,https://tdlbasketball.com/event/pippen-aint-easy-vs-ibaka-flaka-flame-3/,2,Ibaka Flaka Flame,d3_mondays:ibaka-flaka-flame,d3_mondays:ibaka-flaka-flame:2026W,85,43,14,7,3,34,82,0.415,13,34,0.382,4,4,1.0,6,15
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-manhattan-mayo-clinic-3,https://tdlbasketball.com/event/texas-elite-vs-manhattan-mayo-clinic-3/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,73,37,21,9,5,27,57,0.474,12,29,0.414,7,8,0.875,14,13
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-manhattan-mayo-clinic-3,https://tdlbasketball.com/event/texas-elite-vs-manhattan-mayo-clinic-3/,2,Manhattan Mayo Clinic,d3_mondays:manhattan-mayo-clinic,d3_mondays:manhattan-mayo-clinic:2026W,48,47,6,12,1,18,73,0.247,4,24,0.167,10,15,0.667,13,9
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2023Su,2023,SU,1-texas-elite-vs-4-01lakers,https://tdlbasketball.com/event/1-texas-elite-vs-4-01lakers/,1,Texas Elite,d2_thursdays:texas-elite,d2_thursdays:texas-elite:2023Su,69,32,21,5,2,25,63,0.397,10,33,0.303,9,12,0.75,11,17
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2023Su,2023,SU,1-texas-elite-vs-4-01lakers,https://tdlbasketball.com/event/1-texas-elite-vs-4-01lakers/,2,01Lakers,d2_thursdays:01lakers,d2_thursdays:01lakers:2023Su,76,43,14,9,3,25,67,0.373,10,31,0.323,16,22,0.727,9,14
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,2-spaghetti-ramen-vs-3-texas-elite,https://tdlbasketball.com/event/2-spaghetti-ramen-vs-3-texas-elite/,1,Spaghetti Ramen,d3_mondays:spaghetti-ramen,d3_mondays:spaghetti-ramen:2023W,65,37,18,6,4,24,63,0.381,8,23,0.348,9,12,0.75,5,14
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,2-spaghetti-ramen-vs-3-texas-elite,https://tdlbasketball.com/event/2-spaghetti-ramen-vs-3-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2023W,69,38,13,3,0,24,63,0.381,13,31,0.419,8,15,0.533,8,16
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,3-texas-elite-vs-4-team-sky,https://tdlbasketball.com/event/3-texas-elite-vs-4-team-sky/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2023W,75,32,18,6,0,25,57,0.439,12,33,0.364,13,15,0.867,7,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,3-texas-elite-vs-4-team-sky,https://tdlbasketball.com/event/3-texas-elite-vs-4-team-sky/,2,Team Sky,d3_mondays:team-sky,d3_mondays:team-sky:2023W,57,40,11,5,2,21,64,0.328,7,28,0.25,8,15,0.533,11,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,aa-team-vs-texas-elite-2,https://tdlbasketball.com/event/aa-team-vs-texas-elite-2/,1,AA Team,d3_mondays:aa-team,d3_mondays:aa-team:2025F,88,49,21,3,1,33,93,0.355,20,49,0.408,2,4,0.5,13,6
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,aa-team-vs-texas-elite-2,https://tdlbasketball.com/event/aa-team-vs-texas-elite-2/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,95,48,34,10,6,40,80,0.5,9,28,0.321,6,9,0.667,9,5
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,brickstone-associates-vs-texas-elite,https://tdlbasketball.com/event/brickstone-associates-vs-texas-elite/,1,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2026W,76,38,28,5,3,32,72,0.444,12,31,0.387,0,5,0.0,11,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,brickstone-associates-vs-texas-elite,https://tdlbasketball.com/event/brickstone-associates-vs-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,85,38,17,8,2,31,69,0.449,11,29,0.379,12,15,0.8,8,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,ibaka-flaka-flame-vs-texas-elite-4,https://tdlbasketball.com/event/ibaka-flaka-flame-vs-texas-elite-4/,1,Ibaka Flaka Flame,d3_mondays:ibaka-flaka-flame,d3_mondays:ibaka-flaka-flame:2025F,105,40,27,11,4,43,75,0.573,13,33,0.394,6,10,0.6,3,5
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,ibaka-flaka-flame-vs-texas-elite-4,https://tdlbasketball.com/event/ibaka-flaka-flame-vs-texas-elite-4/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,79,28,22,2,3,31,63,0.492,14,31,0.452,3,6,0.5,13,7
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,layups-only-vs-texas-elite,https://tdlbasketball.com/event/layups-only-vs-texas-elite/,1,Layups Only,d3_mondays:layups-only,d3_mondays:layups-only:2025F,99,50,35,11,6,41,83,0.494,16,43,0.372,1,5,0.2,14,3
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,layups-only-vs-texas-elite,https://tdlbasketball.com/event/layups-only-vs-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,79,46,21,9,1,31,85,0.365,13,34,0.382,4,6,0.667,15,4
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024Su,2024,SU,manhattan-elite-vs-texas-elite-3,https://tdlbasketball.com/event/manhattan-elite-vs-texas-elite-3/,1,Manhattan Elite,d3_mondays:manhattan-elite,d3_mondays:manhattan-elite:2024Su,85,33,26,12,6,32,65,0.492,10,26,0.385,11,13,0.846,10,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024Su,2024,SU,manhattan-elite-vs-texas-elite-3,https://tdlbasketball.com/event/manhattan-elite-vs-texas-elite-3/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2024Su,61,30,12,7,1,25,60,0.417,3,20,0.15,8,14,0.571,18,11
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,manhattan-elite-vs-texas-elite-6,https://tdlbasketball.com/event/manhattan-elite-vs-texas-elite-6/,1,Manhattan Elite,d3_mondays:manhattan-elite,d3_mondays:manhattan-elite:2026W,78,40,25,11,1,31,69,0.449,7,18,0.389,9,15,0.6,12,9
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,manhattan-elite-vs-texas-elite-6,https://tdlbasketball.com/event/manhattan-elite-vs-texas-elite-6/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,75,37,21,9,1,28,68,0.412,9,30,0.3,10,10,1.0,14,11
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,ny-rockits-vs-texas-elite,https://tdlbasketball.com/event/ny-rockits-vs-texas-elite/,1,NY Rockits,d3_mondays:ny-rockits,d3_mondays:ny-rockits:2025F,96,60,30,3,6,40,89,0.449,14,39,0.359,2,4,0.5,6,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,ny-rockits-vs-texas-elite,https://tdlbasketball.com/event/ny-rockits-vs-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,71,36,19,0,2,27,72,0.375,13,42,0.31,4,6,0.667,6,6
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,pippen-aint-easy-vs-texas-elite-3,https://tdlbasketball.com/event/pippen-aint-easy-vs-texas-elite-3/,1,Pippen Ain’t Easy,d3_mondays:pippen-ain-t-easy,d3_mondays:pippen-ain-t-easy:2026W,95,38,30,10,1,35,76,0.461,16,36,0.444,9,16,0.562,8,19
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,pippen-aint-easy-vs-texas-elite-3,https://tdlbasketball.com/event/pippen-aint-easy-vs-texas-elite-3/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,98,39,24,5,1,32,70,0.457,14,34,0.412,20,27,0.741,10,11
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-bkysc,https://tdlbasketball.com/event/texas-elite-vs-bkysc/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,77,42,20,10,3,30,77,0.39,8,28,0.286,7,10,0.7,8,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-bkysc,https://tdlbasketball.com/event/texas-elite-vs-bkysc/,2,BKYSC,d3_mondays:bkysc,d3_mondays:bkysc:2026W,67,53,20,5,2,28,79,0.354,6,28,0.214,5,12,0.417,13,9
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,texas-elite-vs-manhattan-elite-2,https://tdlbasketball.com/event/texas-elite-vs-manhattan-elite-2/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,76,32,22,4,2,29,75,0.387,15,47,0.319,2,6,0.333,6,13
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,texas-elite-vs-manhattan-elite-2,https://tdlbasketball.com/event/texas-elite-vs-manhattan-elite-2/,2,Manhattan Elite,d3_mondays:manhattan-elite,d3_mondays:manhattan-elite:2025F,78,48,19,4,4,31,72,0.431,7,25,0.28,9,14,0.643,8,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,texas-elite-vs-manhattan-mayo-clinic-2,https://tdlbasketball.com/event/texas-elite-vs-manhattan-mayo-clinic-2/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,53,40,13,6,4,18,61,0.295,10,37,0.27,7,10,0.7,26,4
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,texas-elite-vs-manhattan-mayo-clinic-2,https://tdlbasketball.com/event/texas-elite-vs-manhattan-mayo-clinic-2/,2,Manhattan Mayo Clinic,d3_mondays:manhattan-mayo-clinic,d3_mondays:manhattan-mayo-clinic:2025F,71,46,21,15,8,30,77,0.39,9,29,0.31,2,8,0.25,14,6
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,texas-elite-vs-mr-beast,https://tdlbasketball.com/event/texas-elite-vs-mr-beast/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2023W,64,44,17,6,1,25,73,0.342,9,38,0.237,5,13,0.385,6,6
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2023W,2023,W,texas-elite-vs-mr-beast,https://tdlbasketball.com/event/texas-elite-vs-mr-beast/,2,Mr. Beast,d3_mondays:mr-beast,d3_mondays:mr-beast:2023W,41,42,7,2,1,15,59,0.254,9,34,0.265,2,2,1.0,10,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-nj-rockets-3,https://tdlbasketball.com/event/texas-elite-vs-nj-rockets-3/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2026W,61,20,17,4,0,20,57,0.351,8,32,0.25,13,15,0.867,9,8
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2026W,2026,W,texas-elite-vs-nj-rockets-3,https://tdlbasketball.com/event/texas-elite-vs-nj-rockets-3/,2,NJ Rockets,d3_mondays:nj-rockets,d3_mondays:nj-rockets:2026W,101,44,27,6,0,36,69,0.522,19,40,0.475,10,14,0.714,7,7
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2023Su,2023,SU,texas-elite-vs-yolo,https://tdlbasketball.com/event/texas-elite-vs-yolo/,1,Texas Elite,d2_thursdays:texas-elite,d2_thursdays:texas-elite:2023Su,74,37,22,4,0,29,56,0.518,12,24,0.5,4,10,0.4,13,9
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2023Su,2023,SU,texas-elite-vs-yolo,https://tdlbasketball.com/event/texas-elite-vs-yolo/,2,YOLO,d2_thursdays:yolo,d2_thursdays:yolo:2023Su,59,35,16,10,3,24,62,0.387,4,16,0.25,7,13,0.538,8,6
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2025F,2025,F,tx-thunder-vs-dream,https://tdlbasketball.com/event/tx-thunder-vs-dream/,1,TX Thunder,d2_thursdays:tx-thunder,d2_thursdays:tx-thunder:2025F,91,55,27,7,6,31,84,0.369,18,55,0.327,9,16,0.562,18,9
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2025F,2025,F,tx-thunder-vs-dream,https://tdlbasketball.com/event/tx-thunder-vs-dream/,2,Dream,d2_thursdays:dream,d2_thursdays:dream:2025F,88,57,25,12,2,39,95,0.411,7,30,0.233,3,6,0.5,8,8
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2025Su,2025,SU,tx-thunder-vs-honey-badgers,https://tdlbasketball.com/event/tx-thunder-vs-honey-badgers/,1,TX Thunder,d2_thursdays:tx-thunder,d2_thursdays:tx-thunder:2025Su,72,44,15,7,2,26,69,0.377,9,32,0.281,11,13,0.846,12,11
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2025Su,2025,SU,tx-thunder-vs-honey-badgers,https://tdlbasketball.com/event/tx-thunder-vs-honey-badgers/,2,Honey Badgers,d2_thursdays:honey-badgers,d2_thursdays:honey-badgers:2025Su,80,37,25,10,10,30,68,0.441,13,34,0.382,7,13,0.538,8,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,wolverines-4-0-vs-texas-elite,https://tdlbasketball.com/event/wolverines-4-0-vs-texas-elite/,1,Wolverines 4.0,d3_mondays:wolverines-4-0,d3_mondays:wolverines-4-0:2025F,55,32,12,9,2,19,56,0.339,4,18,0.222,13,17,0.765,6,10
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,wolverines-4-0-vs-texas-elite,https://tdlbasketball.com/event/wolverines-4-0-vs-texas-elite/,2,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2025F,64,26,17,7,6,24,48,0.5,8,21,0.381,8,19,0.421,11,13
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,7-brickstone-associates-vs-10-texas-elite,https://tdlbasketball.com/event/7-brickstone-associates-vs-10-texas-elite/,1,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2025F,75,46,15,8,14,30,77,0.39,8,29,0.276,7,14,0.5,9,6
